#HANDLE# O
#HANDLE# O
gecmis O
olsun O
bebegim O
:) O
gelicem O
ziyaretee O
:D O

#HANDLE# O
yawrım O
sadece O
abone O
ol O
butonun O
var O
doğru O
mudur O
:) O
ben O
mi O
göremiyorum O
bi O
teyit O
et O
bakim O
:) O

marvin B-PERSON
mustian E-PERSON
think O
I'm O
shadowy O
and O
confused O
:) O

#HANDLE# O
Aaa O
sende O
mi O
ayrildin O
bebegim O
allah O
yalnizlar O
klubu O
olduk O
2 O
adas O
:D O

üstümdeki O
ölü O
toprağı O
attım O
sıra O
bende O
dikkatle O
izleyin O
anam O
:D O

#HANDLE# O
sen O
iyileş O
kanka O
sana O
bunun O
şerefine O
KİVİ O
kokteyli O
yapıcam O
:D O

#HANDLE# O
ama O
o O
whatsapp S-ORGANIZATION
olmamalii O
yaa O
:) O

#HANDLE# O
ahaha O
yok O
ben O
kağıdı O
aldım O
10 O
dakikada O
bitti O
:D O

#HANDLE# O
Nedense O
bi O
adanayı S-LOCATION
düşünememiş O
:D O

Aşkımla O
okadar O
eglendık O
kı O
bugün O
:) O

marble S-ORGANIZATION
da O
1. O
gün O
bitti O
çok O
şükür O
:D O

Sadece O
1 O
dk O
canlı O
canlı O
konussan O
benimle O
dünyalar O
benim O
olurdu O
emin O
ol O
:( O

#HANDLE# O
#HANDLE# O
bende O
gaza O
geldim O
bugünümü O
esrayı S-PERSON
tt O
yapmaya O
adadım O
:) O
#iyikidogdunesra O

Ulu B-PERSON
Önderimiz E-PERSON
Olsaydı O
''YAKIN O
O O
CUDİYİ S-LOCATION
DERDİ... O
:( O

Hava O
ayaz O
mı O
ayaz,ellerim O
ceplerimde O
:) O

#HANDLE# O
sabah O
söylerim O
ahahahaha O
salak O
:D O

#HANDLE# O
Napıyon O
birader O
:) O

#HANDLE# O
Voy O
a O
seguir O
encanta O
ver O
que O
:) O

#HANDLE# O
hayır O
o O
an O
korku O
filmlerini O
aratmadı O
:D O

#HANDLE# O
Yok O
doğruydu O
malesef O
:D O
Diyorum O
işte O
her O
şey O
gerçekti O
:D O

RT O
#HANDLE# O
thanks O
everyone O
for O
having O
fun O
with O
me O
if O
i O
made O
you O
laff O
tonight O
follow O
this O
link O
and O
enjoy O
:) O
love O
you O
all O
night O
... O

#HANDLE# O
1-0 O
yeniliyor O
:) O
İlk O
yarı O
bitti O
:) O

#HANDLE# O
hadi O
len O
:D O

#HANDLE# O
olum O
bu O
sene O
kupa O
yine O
bizde O
:) O

fgül O
de O
2.fragman O
çıkmadığı O
için O
çok O
memnunum O
:) O
ilk O
defa O
fragmanda O
görmediğimiz O
bir O
öpüşme O
sahnesi O
izlicezzz.. O

#HANDLE# O
:d O

#HANDLE# O
hııı O
tabi O
ne O
yaptıysam O
:D O

#HANDLE# O
birhan S-PERSON
sen O
ne O
uyuzsun O
yaaa O
:D O

#HANDLE# O
biliyorum O
neler O
diyemedigini O
:D O
ahahaha O

şarkımız O
hiç O
bitmeyecek O

herkes O
bunu O
söyleyecek O

dillerden O
de O
düşmeyecek O

işte O
bu O
bizim O
şarkımız... O

Sınavlar O
başlamasın O
ya O
böyle O
he O
rşey O
çok O
güzel O
:( O

#HANDLE# O
#HANDLE# O
La B-PERSON
Fonteine E-PERSON
de O
hikayelerinde O
hayvanlari O
konusturuyor O
:) O

wilton B-PERSON
amidei E-PERSON
think O
I'm O
chaos O
and O
confusion O
:) O

#HANDLE# O
hahah O
haklisin O
valla O
:) O

#HANDLE# O
Ne O
güzel O
yazmışsın O
:( O

#HANDLE# O
I O
love O
you O
Justin S-PERSON
please O
follow O
me O
:) O

lucretia B-PERSON
lighthill E-PERSON
think O
I'm O
blackmailed O
:) O

#bugüngünlerden O
Emreleri S-PERSON
yendik O
:D O

#HANDLE# O
Oh O
yeah! O
I'm O
excited O
about O
your O
new O
hair O
stylee!' O
:D O

#HANDLE# O
:D O

#HANDLE# O
:) O

#HANDLE# O
#HANDLE# O
ben O
onu O
hayata O
döndürebildim O
gerisi O
sende O
:D O

Artık O
şehit O
vermesek O
nolur O
yalvarıyorum O
Allah'ım O
:( O

Bir O
kızın O
en O
sevdiği O
şarkının O
anlamına O
iyice O
dikkat O
edin. O
Çünkü O
o O
kızın O
söylemek O
istediği O
ama O
söyleyemediği O
tüm O
şeyler O
o O
şarkının O
içindedir. O

Cok O
kotuyum O
:( O
basim O
donuyor O
:( O

bugün O
sinemlerin S-PERSON
parka O
otudukk O
:D O

#HANDLE# O
bak O
o O
zaman O
gıcıklık O
yapacagım O
git O
ve O
almanca O
çalış O
:D O

#HANDLE# O
net O
olmak O
lazım O
:D O

#HANDLE# O
sana O
çok O
öenmli O
bi O
msj O
atmıştım O
!!111!!!1bir!bir O

#HANDLE# O
follow O
me O
please O
:) O

Suphelı O
paket O
gıbısın O
ya O
ıcınde O
ne O
var O
merak O
edıyorum O
:) O

#HANDLE# O
:) O
çok O
heycanlandım O
ama O
herkese O
heycanlanmam O
kıymetini O
bilesin O
:) O

#HANDLE# O
:D:D O
ya O
ya O
sogan O
kokulu O
parfumler O
flan O
:D O

Leyleklerde O
yanlış O
yapar. O

Dünyaya O
bir O
öküz O
getirebilirler. O
:) O

#HANDLE# O
twittere O
girmem O
yasaklandı O
ve O
şon O
hakkımıda O
sana O
kullandım O
:D O

#HANDLE# O
dedikodulu O
tivitlerin O
dibine O
vurmak O
:D O
#HANDLE# O

Bu O
sezon O
istanbul B-ORGANIZATION
şehir I-ORGANIZATION
tiyatrolarında E-ORGANIZATION
4.oyunumu O
seyrettim, O
tehlikeli B-ORGANIZATION
ilişkiler E-ORGANIZATION
güzeldi O
istanbul B-ORGANIZATION
efendisi E-ORGANIZATION
ve O
şark B-ORGANIZATION
dişçisi E-ORGANIZATION
bana O
göre O
değildi. O

bir O
türlü O
zamam O
geçmiyor O
:( O

#HANDLE# O
ben O
seni O
öpünce O
ya O
da O
sarılınca O
sen O
hemen O
kızıyosun O
sen O
bana O
vurunca O
ben O
neden O
kızmıyım O
dimii O
:D O

ben O
bu O
şakkıl O
giyinirim O
şu O
bayan O
şu O
şakkıl O
giyinir, O
şu O
şakkıl O
giyinir O
:D O
:DD O

#HANDLE# O
I O
love O
you O
Justin O
please O
follow O
me O
:) O
1 O

Tren O
Bornova S-LOCATION
yönüne O
gider O
:( O

anormalizm O
yeni O
akım O
olmalı O
fatma B-PERSON
gül E-PERSON
buluşuuuu O
:D O

#HANDLE# O
yarın O
beden O
dersi O
:D O
buluşma O
saati O
gibi O
oldu O
:D O

#HANDLE# O
bizim O
için O
ygs S-ORGANIZATION
ye O
..oy O
meryem S-PERSON
..y O
meryem S-PERSON
..y O
:D O
:D O

#HANDLE# O
ama O
:( O

Bim S-ORGANIZATION
herşeyin O
çakmasına O
başlamış O
bimcell S-ORGANIZATION
nedir O
ya? O
O O
çekmez O
bile O
:D O

#HANDLE# O
Bence O
Babanız'dan O
izin O
almanız O
zor O
:) O

#HANDLE# O
hahah O
aynen O
oyle O
resmennn O
kısıda O
yazıdaa O
Allahına O
kdr O
yasıyo O
mu O
mevsmler O
:) O

#HANDLE# O
ne O
demek. O
Guzell O
:) O
bomba O
bombaaa O
:) O

#HANDLE# O
adamsın O
:D O

@gnurgulec_ B-PERSON
şey E-PERSON
şaka O
sadece O
eşek O
şakası O
:D O

uykum O
geldi O
:( O

#HANDLE# O
sakın O
panpa O
sakın O
:D O

#muzikicinefes O
o O
ses O
kim O
ya O
:D O

gitchi O
gitchi O
goo O
means O
that O
i O
love O
youu&lt;3 O
:D O

#HANDLE# O
I O
love O
you O
Justin S-PERSON
please O
follow O
me O
:) O
2 O

#HANDLE# O
:D O
vay O
:D O
bir O
anda O
gözlerim O
parladı O
fenomen O
olacaksam O
işin O
rengi O
değişir O
:D O

Gülümse, O
odaklan, O
değiştiir O
:) O

#HANDLE# O
ben O
hiç O
beğenmedm O
:D O
ama O
koydum O
. O

wuhuhhhuuhuu O
:) O
dondurma O
mevsımıde O
geldı O
hahhahah O
:D O

kaldırdım O
ya O
artık O
klit O
mlit O
yok O
relax O
:) O

#HANDLE# O
burdan O
konuşak O
panpa O
sa O
:( O

Batak O
baslasııınnn! O
:D O

#HANDLE# O
abi O
yeter O
valla, O
et O
yemeklerini O
severim O
ama O
bu O
kadar O
da O
değil. O
hep O
et O
hep O
et O
:D O

#HANDLE# O
ahım O
tuttu O
desene O
:D O

jarrett B-PERSON
capel E-PERSON
think O
I'm O
patent O
and O
pertinent O
:) O

çok O
kötü O
köpek O
peşledi O
koştuk O
kaçtık O
:) O

#muzikicinefes O
konserde O
olmamak O
kötüü O
:( O

Keşke O
benımde O
bi O
abım O
olsaydı O
çok O
kıskanıorm O
suan O
! O
:) O

neymiş O
efendim O
3 O
dakkalığına O
ilşkisi O
var O
yapalımmı O
mal O
sın O
mk O
:D O

#10yildanedegisti O
Derseniz O
Aslinda O
Galatasarayda S-ORGANIZATION
bisey O
degismedi. O
Ezik O
her O
zaman O
eziktir O
:D O

Samsunspor S-ORGANIZATION
üzgünüm O
yaşadıgım O
sehrin O
takımının O
rakibi O
Fenerbahçe S-ORGANIZATION
isre O
asla O
destekleyemem O
:) O

RT O
#HANDLE# O
#HANDLE# O
Ya O
da O
Maxgül S-PERSON
Suçu O
Ne O
gibi O
bir O
şey O
hahah O
:D O

#HANDLE# O
12. O
olmuşsun O
:( O
#HANDLE# O
#HANDLE# O
#HANDLE# O

#takipedentakipedilir O
yalan O
olacak O
ama O
olsun O
:D O

#HANDLE# O
#HANDLE# O
onu O
bunu O
bırakin O
da O
:p O
deri O
ceketlinin O
arkadasi O
varmis O
bi O
tane O
öyle O
duydum O
sanki O
ben?? O
:D O

#HANDLE# O
supernaturall O
(deaannn O
:D O
) O

yabancı O
şarkılarda O
salladığım O
yerler O
sendin O
aşkım O

Atiyemin S-PERSON
budur O
sarkisinin O
klibinden O
fotograflar O
cekip O
birlestiricem O
10 O
dk O
sonra O
gorusuuruz O
:) O

#HANDLE# O
sen O
bi O
osurda O
rahatla O
:D O

#HANDLE# O
şişerim O
ben O
hergun O
ugrarsam O
:)) O
dun O
2 O
kutu O
macaronu O
beyime O
birakmadan O
ben O
yedim O
:) O

Serkan S-PERSON
91in O
ne O
isi O
var O
kutuphane O
de O
amanin O
sok O
oldum O
:D O

oo O
kardeşim O
:D O
#HANDLE# O

#HANDLE# O
retweet O
lencek O
bısey O
paylas O
:D O
takıp O
edenı O
takıp O
ederım O
ne O
ya O
:D O

#HANDLE# O
Imm O
ne O
dilesem O
:) O
Neyse O
diledim O
:) O

normand B-PERSON
heinbach E-PERSON
think O
I'm O
disciplined O
:) O

"ruyalaar O
ruyaalaar... O
ruyalar O
gercek O
ollsaaaaa" O
diye O
uyaniyorum O
hep O
:) O

#HANDLE# O
F4F O
please O
:) O

ne O
ediyorsun O
twitter O
alemnde O
:) O
#HANDLE# O

Tarih O
bilgi O
yarışmasında O
karşı O
taraf O
rüşvet O
verirse O
bırakabilirim O
:D O

Eski O
dostlar O
candır, O
daha O
sık O
görüşmek O
lazım O
:) O

Ajdar S-PERSON
''Şahdamarım'' O
şarkısına O
en O
fazla O
2 O
dakika O
dayanabildim. O
Ne O
olursa O
olsun O
kendime O
bu O
kadar O
eziyet O
çektiremem. O

Twitterin S-ORGANIZATION
Facebookuna S-ORGANIZATION
Twitter S-ORGANIZATION
ekleyenler O
varya O
onlardan O
biride O
benim O
:) O

Allah O
belanı O
versin O
sparta B-ORGANIZATION
prag E-ORGANIZATION
:D O

ezginin S-PERSON
cok O
hücreli O
canlılara O
cubuk O
hücreli O
canlılar O
demesini O
nabıcaazzz O
:D O

#HANDLE# O
Abi O
İnan O
Meraktan O
Öecem O
:D O

Ultraslan S-ORGANIZATION
Florya S-LOCATION
Fatih B-PERSON
Terim E-PERSON
balkona, O
Zıpla O
i*ne O
zıpla, O
Yenilgiyi O
kutla O
:) O


Mösyö O
Naabeeer? O

#HANDLE# O
I O
love O
you O
Justin S-PERSON
please O
follow O
me O
:) O
4 O

#HANDLE# O
geçmiş O
olsun O
:) O

#HANDLE# O
eweeeeett O
:) O

@ForeverSwifty_S B-PERSON
Your E-PERSON
awesome O
! O
:) O
&lt;3 O

mervenin S-PERSON
sözlerine O
bak O
sen O
ooo O
çok O
sert O
:D O

Şu O
işletme O
dersi O
de, O
hocası O
da O
hiç O
çekilmiyor O
:( O

RT O
#HANDLE# O
#HANDLE# O
haha O
yeah O
thanks, O
I O
like O
yours O
2 O
:) O
what O
are O
you O
doing O
bebz O
? O
xx O

#HANDLE# O
#HANDLE# O
#HANDLE# O
e O
benim O
ofisin O
adı O
olsun O
yok O
mu O
bana O
logo O
tasarlayacak O
bir O
gönlü O
geniş O
dost O
"şipşak O
ayça S-PERSON
:) O

Fotoğraf O
üzerinde O
ofsayt O
anlatımı O
başarıyla O
sonuçlandı O
:) O
Teşekkürler O
Burak S-PERSON
:) O

#HANDLE# O
basim O
doniyiiii O
:D O
yoldaym O
ne O
yiyim O
ya O
:D O

#HANDLE# O
:D O
bende O
o O
var O
diye O
izlemiyorum O
:D O

#HANDLE# O
♒ O
Kova: O
En O
büyük O
salaklık O
akıl O
küpü O
Kovayı O
enayi O
yerine O
koymaya O
çalışmaktır." O

HAHAHA O
GORUYOSUNUZ O
GALİBA O
xxx O
:) O

#HANDLE# O
Oldu O
bir O
defa O
:D O

#HANDLE# O
hahah O
evet O
cok O
kararsizim O
ama O
bu O
donem O
karar O
vericem O
eminim O
:D O

aşık O
olmak O
icin O
ne O
yapmak O
gerekir O
?? O
biri O
cıksında O
acıklama O
yapsın O
:) O

#HANDLE# O
Level O
1 O
den O
Yukarı O
cıkamayız O
biz O
bu O
gidisle O
:D O

Samsunspor S-ORGANIZATION
üzgünüm O
yaşadıgım O
sehrin O
takımının O
rakibi O
Fenerbahçe S-ORGANIZATION
ise O
asla O
destekleyemem O
:) O

Hiç O
kimseyi O
takmayan O
insanın O
umursamazlığının O
çeyreği O
bense O
olsa O
işimi O
görecek O
aslında O
:( O

#HANDLE# O
temmuz S-DATE
gelir O
giderkeen O
:) O

#HANDLE# O
çocuk O
yada O
büyük O
ol, O
hariboyla S-ORGANIZATION
mutlu O
ol O
:) O

Biri O
beni O
arayacaktı O
sanki, O
yine O
unutmaz O
umarım O
:D O

Puf O
kulakligimi O
at O
ciftliginde O
unuttum O
saka O
mi O
ya O
buu O
:( O

#HANDLE# O
I O
love O
you O
Justin S-PERSON
please O
follow O
me O
:) O
6 O

#HANDLE# O
ilk O
defa O
tweet O
atıyorum O
:) O

Katy B-PERSON
Perry E-PERSON
26 O
Nisan O
günü O
American O
